1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,country
64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.23,162.384,171.456,174.24,195.915,229.385,265.267,309.979,346.914,402.646,464.915,387.974,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.789,408.743,367.633,490.293,579.422,546.768,567.74,571.222,575.767,589.824,605.123,Norway
7.269,8.849,9.285,9.733,10.726,11.916,9.433,9.89,9.613,10.743,13.395,13.0,14.274,14.321,14.808,15.821,17.512,18.154,16.044,17.833,22.259,22.206,23.066,24.734,28.379,35.507,42.578,48.3,69.805,55.454,64.994,77.497,87.409,89.936,92.699,78.711,75.129,80.857,91.505,88.061,75.909,88.192,114.667,108.282,112.354,114.944,118.305,121.829,125.935,Oman
56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.84,68.747,67.027,62.206,80.61,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.13,171.613,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,475.697,524.374,495.23,515.762,539.212,476.788,469.65,524.78,588.804,595.968,599.458,681.429,690.68,842.172,880.055,928.942,986.48,1036.478,1067.901,Poland
32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,242.423,240.013,228.848,254.152,252.13,276.432,289.515,303.238,316.273,327.215,338.45,Portugal
14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.958,105.126,103.02,106.526,115.017,117.515,119.044,121.312,124.222,129.512,134.119,Puerto Rico
0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.825,0.875,0.953,0.957,1.007,1.058,1.076,1.107,0.884,0.859,0.966,1.069,1.122,1.177,1.233,1.293,1.355,Saint Kitts and Nevis
0.127,0.119,0.122,0.113,0.111,0.106,0.112,0.124,0.138,0.141,0.182,0.176,0.193,0.198,0.158,0.242,0.258,0.28,0.286,0.262,0.271,0.273,0.289,0.342,0.418,0.486,0.516,0.568,0.684,0.618,0.68,0.744,0.773,0.798,0.797,0.824,0.844,0.885,0.878,0.913,0.869,0.844,0.833,0.939,0.996,1.052,1.11,1.167,1.221,Samoa
4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.584,27.744,31.141,35.185,39.666,42.621,45.527,49.45,Senegal
89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,405.093,389.245,338.193,420.009,405.106,380.906,401.466,417.947,432.496,445.457,459.022,South Africa
230.759,204.588,197.643,172.856,172.381,181.62,251.304,318.389,374.068,412.59,535.652,576.446,630.122,529.319,531.137,613.946,640.026,589.376,618.414,635.968,598.628,627.834,708.256,907.264,1068.57,1154.354,1260.466,1474.176,1631.685,1489.853,1423.27,1480.45,1325.59,1355.599,1372.174,1196.278,1233.215,1312.782,1422.347,1394.474,1277.106,1446.613,1418.916,1582.054,1676.539,1751.938,1816.052,1870.318,1926.172,Spain
