1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,country
0.6,0.6,0.5,0.6,0.4,0.5,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,1.0,1.1,1.3,1.6,1.4,1.5,1.4,1.4,1.4,1.2,1.4,1.5,1.5,1.7,1.8,1.8,2.0,2.2,2.4,2.7,2.9,3.1,3.3,3.5,"Gambia, The"
853.7,718.3,693.5,691.9,651.9,661.0,944.1,1174.9,1266.6,1257.4,1598.6,1875.6,2136.3,2072.5,2209.9,2588.0,2498.1,2214.7,2242.1,2197.1,1948.8,1945.8,2077.0,2501.0,2813.1,2848.4,2994.9,3426.0,3744.9,3407.6,3402.4,3748.7,3529.4,3733.9,3890.1,3357.9,3468.9,3689.5,3976.2,3889.6,3884.6,4281.3,4085.7,4429.8,4700.9,4960.3,5181.8,5327.9,5459.3,Germany
37.4,60.7,70.4,47.3,17.1,15.3,14.1,11.8,12.5,12.7,14.7,16.5,16.3,13.3,12.3,14.6,15.5,15.8,17.2,17.8,11.5,12.2,14.2,17.5,20.3,24.6,28.9,34.0,38.7,34.6,43.3,53.8,56.9,63.7,54.3,49.4,56.1,60.4,67.3,68.4,70.0,79.6,72.2,76.6,75.6,76.7,81.8,87.2,93.1,Ghana
57.0,52.6,54.9,49.6,48.3,47.9,56.4,65.7,76.4,79.2,98.0,105.6,116.5,109.0,116.7,136.9,145.9,143.3,144.6,149.4,132.2,136.3,154.5,202.3,240.9,248.0,273.6,318.9,355.9,330.9,297.4,282.9,242.2,238.9,235.5,195.7,193.1,199.8,212.1,205.3,188.8,215.0,219.2,242.4,256.3,266.6,275.9,282.9,290.0,Greece
0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.7,Grenada
7.7,8.4,8.5,8.9,9.3,11.0,5.9,6.9,7.4,8.6,7.5,9.2,10.1,11.0,12.5,14.0,15.0,17.0,18.5,17.4,18.1,19.7,21.9,23.1,25.0,28.2,31.3,35.0,40.2,38.0,41.5,47.4,49.9,53.0,57.8,62.2,66.0,71.6,73.3,77.2,77.7,86.0,95.0,102.8,111.4,119.5,128.2,137.6,147.9,Guatemala
2.4,2.4,2.3,2.3,2.3,2.5,2.7,2.8,3.3,3.4,3.7,4.2,4.6,4.6,4.7,5.1,5.3,5.2,5.0,4.8,4.0,3.8,4.0,4.8,5.0,4.5,4.2,6.3,7.0,6.8,6.9,6.8,7.4,8.4,8.8,8.8,8.6,10.3,11.9,13.4,14.1,15.8,20.3,23.2,25.3,27.3,29.3,31.5,33.8,Guinea
0.3,0.4,0.4,0.5,0.3,0.5,0.5,0.4,0.4,0.4,0.5,0.8,0.8,0.7,0.4,0.8,0.7,0.7,0.6,0.6,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.8,1.0,0.9,0.9,1.2,1.0,1.1,1.1,1.2,1.2,1.5,1.6,1.5,1.5,1.7,1.7,2.0,2.2,2.4,2.6,2.8,2.9,Guinea-Bissau
0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.7,0.8,1.0,1.2,1.3,1.5,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.9,2.2,2.5,2.6,2.9,3.3,4.1,4.2,4.1,4.3,4.5,4.7,4.8,5.2,5.5,7.7,14.5,16.3,20.3,23.5,27.9,28.8,29.9,Guyana
2.7,2.9,3.0,3.3,3.6,4.0,4.5,2.2,1.4,1.3,1.7,1.5,0.9,1.1,3.1,4.8,5.0,5.7,6.4,7.1,6.8,6.3,6.1,4.9,6.0,7.2,7.5,9.5,10.5,11.6,11.9,13.0,13.7,14.9,15.1,14.8,14.0,15.0,16.5,14.8,14.5,21.0,20.5,26.0,28.0,30.0,32.0,34.0,36.0,Haiti
4.0,4.0,4.3,4.5,4.9,5.3,5.7,6.2,6.9,7.9,4.9,4.6,4.9,5.0,4.6,5.4,5.2,5.7,6.4,6.4,7.2,7.7,7.9,8.2,8.9,9.8,10.9,12.4,13.9,14.6,15.8,17.7,18.5,18.5,19.8,21.0,21.7,23.1,24.1,25.1,23.7,28.3,31.5,34.0,35.9,37.8,40.0,42.3,44.8,Honduras
